loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0338,3.45e-05,2.9,345,,,,,,,,,,,,,
0.0423,3.46e-05,2.91,346,,,,,,,,,,,,,
0.0656,3.4699999999999996e-05,2.92,347,,,,,,,,,,,,,
0.0273,3.48e-05,2.92,348,,,,,,,,,,,,,
0.0431,3.49e-05,2.93,349,,,,,,,,,,,,,
0.047,3.5e-05,2.94,350,,,,,,,,,,,,,
0.0475,3.51e-05,2.95,351,,,,,,,,,,,,,
0.05,3.52e-05,2.96,352,,,,,,,,,,,,,
0.0524,3.53e-05,2.97,353,,,,,,,,,,,,,
0.024,3.54e-05,2.97,354,,,,,,,,,,,,,
0.0382,3.55e-05,2.98,355,,,,,,,,,,,,,
0.0457,3.56e-05,2.99,356,,,,,,,,,,,,,
0.0478,3.57e-05,3.0,357,,,,,,,,,,,,,
,,3.0,357,0.058851245790719986,0.863080684596577,0.83451536643026,0.8485576923076923,0.980701754385965,1.1243,376.237,24.015,,,,,
0.0127,3.58e-05,3.01,358,,,,,,,,,,,,,
0.0393,3.59e-05,3.02,359,,,,,,,,,,,,,
0.0278,3.6e-05,3.03,360,,,,,,,,,,,,,
0.0265,3.61e-05,3.03,361,,,,,,,,,,,,,
0.0232,3.62e-05,3.04,362,,,,,,,,,,,,,
0.0416,3.63e-05,3.05,363,,,,,,,,,,,,,
0.02,3.6400000000000004e-05,3.06,364,,,,,,,,,,,,,
0.0188,3.65e-05,3.07,365,,,,,,,,,,,,,
0.0222,3.66e-05,3.08,366,,,,,,,,,,,,,
0.0536,3.6700000000000004e-05,3.08,367,,,,,,,,,,,,,
0.0211,3.68e-05,3.09,368,,,,,,,,,,,,,
0.0168,3.69e-05,3.1,369,,,,,,,,,,,,,
0.023,3.7e-05,3.11,370,,,,,,,,,,,,,
0.0181,3.71e-05,3.12,371,,,,,,,,,,,,,
0.0132,3.72e-05,3.13,372,,,,,,,,,,,,,
0.0096,3.73e-05,3.13,373,,,,,,,,,,,,,
0.0162,3.74e-05,3.14,374,,,,,,,,,,,,,
0.0081,3.7500000000000003e-05,3.15,375,,,,,,,,,,,,,
0.0073,3.76e-05,3.16,376,,,,,,,,,,,,,
0.0163,3.77e-05,3.17,377,,,,,,,,,,,,,
0.0169,3.7800000000000004e-05,3.18,378,,,,,,,,,,,,,
0.0159,3.79e-05,3.18,379,,,,,,,,,,,,,
0.028,3.8e-05,3.19,380,,,,,,,,,,,,,
0.0287,3.8100000000000005e-05,3.2,381,,,,,,,,,,,,,
0.0051,3.82e-05,3.21,382,,,,,,,,,,,,,
0.0243,3.83e-05,3.22,383,,,,,,,,,,,,,
0.0092,3.8400000000000005e-05,3.23,384,,,,,,,,,,,,,
0.0184,3.85e-05,3.24,385,,,,,,,,,,,,,
0.0344,3.86e-05,3.24,386,,,,,,,,,,,,,
0.0114,3.8700000000000006e-05,3.25,387,,,,,,,,,,,,,
0.0242,3.88e-05,3.26,388,,,,,,,,,,,,,
0.0174,3.8900000000000004e-05,3.27,389,,,,,,,,,,,,,
0.0318,3.9000000000000006e-05,3.28,390,,,,,,,,,,,,,
0.0228,3.91e-05,3.29,391,,,,,,,,,,,,,
0.0256,3.9200000000000004e-05,3.29,392,,,,,,,,,,,,,
0.0405,3.9300000000000007e-05,3.3,393,,,,,,,,,,,,,
0.0102,3.94e-05,3.31,394,,,,,,,,,,,,,
0.0084,3.9500000000000005e-05,3.32,395,,,,,,,,,,,,,
0.0133,3.960000000000001e-05,3.33,396,,,,,,,,,,,,,
