loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0472,3.63e-05,3.05,363,,,,,,,,,,,,,
0.0366,3.6400000000000004e-05,3.06,364,,,,,,,,,,,,,
0.0405,3.65e-05,3.07,365,,,,,,,,,,,,,
0.014,3.66e-05,3.08,366,,,,,,,,,,,,,
0.0265,3.6700000000000004e-05,3.08,367,,,,,,,,,,,,,
0.0433,3.68e-05,3.09,368,,,,,,,,,,,,,
0.0233,3.69e-05,3.1,369,,,,,,,,,,,,,
0.0212,3.7e-05,3.11,370,,,,,,,,,,,,,
0.0308,3.71e-05,3.12,371,,,,,,,,,,,,,
0.0274,3.72e-05,3.13,372,,,,,,,,,,,,,
0.0518,3.73e-05,3.13,373,,,,,,,,,,,,,
0.0159,3.74e-05,3.14,374,,,,,,,,,,,,,
0.0209,3.7500000000000003e-05,3.15,375,,,,,,,,,,,,,
0.0442,3.76e-05,3.16,376,,,,,,,,,,,,,
0.0421,3.77e-05,3.17,377,,,,,,,,,,,,,
0.018,3.7800000000000004e-05,3.18,378,,,,,,,,,,,,,
0.0156,3.79e-05,3.18,379,,,,,,,,,,,,,
0.0616,3.8e-05,3.19,380,,,,,,,,,,,,,
0.0443,3.8100000000000005e-05,3.2,381,,,,,,,,,,,,,
0.0045,3.82e-05,3.21,382,,,,,,,,,,,,,
0.0312,3.83e-05,3.22,383,,,,,,,,,,,,,
0.055,3.8400000000000005e-05,3.23,384,,,,,,,,,,,,,
0.0416,3.85e-05,3.24,385,,,,,,,,,,,,,
0.0138,3.86e-05,3.24,386,,,,,,,,,,,,,
0.0291,3.8700000000000006e-05,3.25,387,,,,,,,,,,,,,
0.0256,3.88e-05,3.26,388,,,,,,,,,,,,,
0.0134,3.8900000000000004e-05,3.27,389,,,,,,,,,,,,,
0.0203,3.9000000000000006e-05,3.28,390,,,,,,,,,,,,,
0.0395,3.91e-05,3.29,391,,,,,,,,,,,,,
0.0226,3.9200000000000004e-05,3.29,392,,,,,,,,,,,,,
0.031,3.9300000000000007e-05,3.3,393,,,,,,,,,,,,,
0.0131,3.94e-05,3.31,394,,,,,,,,,,,,,
0.0485,3.9500000000000005e-05,3.32,395,,,,,,,,,,,,,
0.0133,3.960000000000001e-05,3.33,396,,,,,,,,,,,,,
0.0318,3.97e-05,3.34,397,,,,,,,,,,,,,
0.0255,3.9800000000000005e-05,3.34,398,,,,,,,,,,,,,
0.0231,3.99e-05,3.35,399,,,,,,,,,,,,,
0.0436,4e-05,3.36,400,,,,,,,,,,,,,
